gene_short_name	Day02d_BR4	Day02d_BR5	Day02d_BR6	Day02d_BR7
Migut.G01214	66.27820646	169.1721479	130.3302458	127.3478972
Migut.H00946	47.4836601	68.16761878	125.231702	128.2145072
Migut.L00496	60.92473856	360.2466108	483.7328041	222.1379896
Migut.G01212	188.3946155	356.3413327	292.1736036	400.2362482
Migut.M00087	56.53141139	70.45032071	18.36517398	94.98834943
Migut.D00325	94.94591268	230.6131951	500.7925271	173.4342577
Migut.N03181	0.360571789	74.92243854	1092.940029	109.0996557
Migut.C00451	224.2293411	226.658386	387.1917389	346.0532206
Migut.K00030	101.3539689	90.20278789	61.4692596	125.5994082
Migut.F01694	21.6573923	38.80402031	7.455666533	35.2846986
Migut.F01696	68.45624923	58.10784215	39.76158401	94.91583923
Migut.H00772	245.2860693	218.0671289	499.6167285	515.0813168
Migut.J00863	0	3.052129083	37.34297088	3.383808885
Migut.H01716	335.2175543	291.4893063	354.0211249	231.192743
Migut.F01926	41.37845519	31.36681307	17.88196643	56.13660551
Migut.N02351	11.28018303	76.37327594	39.31834012	35.88897817
Migut.F01429	0.104838674	2.762262075	21.92561577	2.028370385
Migut.D02407	12.72688943	23.11429464	57.99372497	15.78423047
Migut.A00993	47.89009255	36.24038548	14.17276193	44.54593533
Migut.F01743	38.84115578	29.67471488	28.07109785	37.43007785
Migut.L00497	126.0318182	730.623065	2221.713349	527.3808178
Migut.H02330	33.39036492	33.44884321	2.813064447	45.95271658
Migut.N01875	73.46806709	619.5583591	1651.981986	290.4486314
Migut.G00539	38.78566304	166.0495395	20.0952365	15.78929764
Migut.A00705	9.531998821	11.51768192	0.537039576	8.964896268
Migut.F01692	81.37352624	111.5934696	141.6915741	144.3859166
Migut.E00881	99.50337924	67.25905045	26.90923671	93.17559467
Migut.G00700	18.31609576	23.91200411	32.27839669	18.97784696
Migut.M01085	0	2.055049507	31.4007442	6.086516232
Migut.M01442	0	5.855938704	68.73553497	6.322052234
Migut.O00792	0.442299188	7.567262189	58.3827115	3.735373445
Migut.F01690	122.674839	166.8959676	193.1328576	230.8460789
Migut.N02333	40.05306781	80.35754779	11.80384934	36.0602917
Migut.C00659	141.8564757	54.63974565	11.68644817	114.960178
Migut.N00652	159.7462749	580.1196538	817.5682317	261.6308218
Migut.D00530	426.6686504	565.6150123	558.0176847	578.2358093
Migut.J00932	9.478806864	38.05039497	88.4532952	40.56501213
Migut.A01024	28.36620721	6.951379707	1.603446735	9.257627574
Migut.F01974	122.4077967	99.46728043	195.4428344	132.090669
Migut.L00621	0.77313614	12.96297521	67.37131313	11.91122454
Migut.J01425	89.8462986	182.136289	269.8418632	191.9672652
Migut.H00944	337.6674201	375.1922038	642.0615599	759.283698
Migut.B01841	26.5150969	65.65324474	269.8147772	148.6201775
Migut.F01937	1118.870928	1741.175521	2384.866396	2109.632197
Migut.F01895	98.9322186	184.5927669	113.5802901	129.0197988
Migut.C01003	7.438823405	18.56024442	7.078278378	5.99678872
Migut.K01413	28.36406329	30.38382853	72.44499901	36.13332236
Migut.M01355	11.75730002	105.7216477	242.8998413	105.450534
Migut.D01008	60.71392632	129.5898101	201.4087954	245.6645251
Migut.G01284	172.4053911	36.16342167	27.53855336	56.68820634
Migut.N01289	172.8354973	205.0453963	301.1861718	272.7410863
Migut.I00824	2.64867197	5.534327428	7.16294678	3.392122912
Migut.G00626	2.556841487	2.656853349	3.694568166	3.596980921
Migut.G00536	2.860171109	4.281763821	8.032412079	2.423961761
Migut.K01326	24.37475483	33.52168891	12.51074653	30.46165389
Migut.M00123	11.98946727	7.075390147	2.819457775	8.778127596
Migut.F01745	18.02143527	9.614206611	8.270409474	17.25742532
Migut.A00283	16.36177689	38.18392435	62.5836971	26.92206532
Migut.I00636	58.37494719	14.74778766	8.727993604	45.46745546
Migut.E00474	0.684667826	75.43769793	125.9077263	44.89138355
Migut.K01027	28.46119174	6.215649738	0.301839762	20.69451419
Migut.D01776	0.824061275	4.967477154	7.700890258	5.314519344
Migut.M01514	72.70226387	133.4784399	16.97610366	50.79911286
Migut.A01017	128.6431308	51.24681559	43.55857954	130.0884404
Migut.K00311	1.872356911	8.969522203	7.173314339	11.57203447
Migut.H00438	0.62411897	5.792816423	15.68283429	2.557587328
Migut.I00067	10.69068194	42.01850589	152.8799209	16.08743038
Migut.K01130	3.829241009	5.147543087	3.804106572	10.79376565
Migut.L01838	0.108077146	4.098801622	39.13289299	6.427971434
Migut.F01972	40.01664931	19.481675	18.91636209	25.17800654
Migut.M00399	13.51415355	7.54434724	0.533887935	13.71565996
Migut.D00501	0.320539363	2.943124473	22.2491994	1.435566658
Migut.F01738	10.58601792	8.067865688	6.361853441	12.24053144
Migut.H00766	613.9499767	671.04324	1261.332814	1409.887072
Migut.F01931	4.986167862	1.990518967	20.9756762	6.431338627
Migut.F01927	25.67504347	2.635633856	0	10.88116674
Migut.C00658	27.47323699	12.97993357	0	21.1315412
Migut.H02255	22.51826121	9.657127176	3.499847759	4.108910789
Migut.N00852	0.283165088	1.559977087	37.72736173	2.49578285
Migut.O00517	88.32214953	28.08414298	15.04412171	47.65109975
Migut.E00352	22.53817126	17.16822609	0.933292736	7.533003114
Migut.G00540	1.106579359	53.01066302	312.7702004	28.97863399
Migut.F01925	133.1891404	56.45386345	5.133357604	91.81290316
Migut.L01156	0.056914075	2.658305975	32.37362517	5.383386841
Migut.A01153	6.141028676	4.519120158	3.534933081	1.749600723
Migut.F00291	0.864563917	4.689856883	1.329500414	3.00652009
Migut.A01016	1.972235823	2.187035171	23.70499531	4.553824697
Migut.D02250	0.595177365	1.22759829	12.84675571	0.426489539
Migut.C00654	33.12353746	152.8337404	297.7677347	89.17210649
Migut.I00177	0.296226209	0.608173323	5.60770384	0.409374876
Migut.J00460	1.35584466	3.450559727	5.118079754	4.736379925
Migut.H00570	9.252741043	2.809346088	3.406844812	9.245049276
Migut.N01748	3.390594146	3.344071865	18.69831707	6.645716581
Migut.D01439	0.539842193	1.243323555	4.379773273	0.312445842
Migut.B01455	7.469410672	31.08352513	41.82814002	24.00468935
Migut.M01632	0	3.938876989	65.63232635	5.54529666
Migut.M01632	0	3.938876989	65.63232635	5.54529666
Migut.O00210	0.853005576	2.383687589	2.691300603	1.731854961
Migut.F01936	14.78121762	7.935535615	0	8.948294608
Migut.B00676	1.372750454	3.185326736	6.574047431	2.121058687
Migut.M00592	3.201644627	2.325764267	1.750601548	1.805288036
Migut.J01352	0	10.33493214	68.37417733	1.464562262
Migut.L00801	0.381478123	0.456867555	4.986317562	1.025092089
Migut.B00981	0.995015033	1.879147327	2.483882712	0.575887385
Migut.F01739	8.180104758	4.418116924	5.494327972	8.275288863
Migut.E01748	17.02851873	3.537695073	1.723001974	9.15166494
Migut.H01918	8.466446101	2.212281483	8.742211356	4.963784846
Migut.A01015	53.07175165	33.38405424	17.95946583	61.63366184
Migut.M01573	105.7838711	196.4603088	196.7338558	110.2135887
Migut.F01691	4.1625268	5.290357077	0.918934386	3.195819503
Migut.N01866	0.408252579	10.80098107	79.96067412	7.30029781
Migut.G00616	4.924987888	6.740898588	2.029548337	7.562412496
Migut.F01923	15.60425319	4.50314127	0.84737802	10.10387899
Migut.N02144	3.318958246	1.135675938	3.152158649	1.146672778
Migut.C01223	0.943398341	3.954429454	6.006145697	8.492453148
Migut.M01476	0.492901981	17.11903347	84.33329431	6.67550836
Migut.O00644	3.173586086	14.85753403	1.040303078	0.930319424
Migut.A00296	1.116752203	1.697532467	1.161574364	1.754366404
Migut.E00880	21.89380979	2.289096812	0.626546172	4.295679462
Migut.B00635	21.58151786	68.18088813	107.6981295	33.34418687
